genotype,checkId,Plot,Inoc,Rep,Row,Col,Block,Sev11,Sev13,Sev15,Sev17
NA,Salmon,2,I,1,1,2,1,3,3.33,4.33,5.33
JG24,noCheck,3,I,1,1,3,1,1,1.67,4,4.33
JG18,noCheck,4,I,1,1,4,1,0.33,0.33,0.33,NA
JG16,noCheck,10,I,1,2,5,1,0.33,0.33,0.33,0.33
JT34,noCheck,11,I,1,2,4,1,1.33,1.67,2,2
JS1,noCheck,13,I,1,2,2,1,3,4,4.33,4.67
NA,HimboTop,15,I,1,3,1,1,4,4.33,6.33,6.67
JT14,noCheck,16,I,1,3,2,1,0.33,0.33,0.33,0.33
JS9,noCheck,17,I,1,3,3,1,0.33,0.33,0.33,0.33
JT20,noCheck,22,I,1,4,7,1,3,3.67,4,4
JG42,noCheck,23,I,1,4,6,1,1.33,1.33,1.67,1.67
JS29,noCheck,24,I,1,4,5,1,1.33,1.33,1.33,1.33
NA,Heritage,25,I,1,4,4,1,4,4.33,5,5.33
JT18,noCheck,26,I,1,4,3,1,1,1,1.33,1.67
JS7,noCheck,27,I,1,4,2,1,0.67,1.33,2.33,2.67
JS2,noCheck,29,I,1,5,1,1,2.67,3.67,5.33,6.33
JG7,noCheck,30,I,1,5,2,1,0.67,0.67,1.67,1.67
JG11,noCheck,32,I,1,5,4,1,3,3.67,5,5.67
JT21,noCheck,33,I,1,5,5,1,3,3.67,4,4.67
JG6,noCheck,34,I,1,5,6,1,1.33,1.33,2.33,2.67
NA,GoldenBliss,35,I,1,5,7,1,1.67,2,4,4.33
JT1,noCheck,36,I,1,6,7,1,1,1.33,1.67,2.33
JT21,noCheck,38,I,1,6,5,1,3,3.67,5.67,5.67
JT16,noCheck,39,I,1,6,4,1,1,1,2,2.33
JS25,noCheck,40,I,1,6,3,1,0.33,0.33,0.67,1
JS22,noCheck,41,I,1,6,2,1,2,2.33,3.67,3.67
NA,GoldenBliss,42,I,1,6,1,1,1.67,2.33,3.67,4
JS19,noCheck,43,I,1,7,1,1,1.33,2,4,4.33
JG20,noCheck,44,I,1,7,2,1,2.33,2.67,3.33,3.67
NA,Jewel,45,I,1,7,3,1,0.33,0.67,0.67,0.67
JG39,noCheck,46,I,1,7,4,1,0.67,1,2.33,3
JT28,noCheck,47,I,1,7,5,1,4,4.67,5.67,6
JG32,noCheck,48,I,1,7,6,1,2.33,3,3.67,4
JG9,noCheck,49,I,1,7,7,1,2.33,2.67,4,5
JS12,noCheck,50,I,1,8,7,2,1,1.33,3.33,3.33
JG12,noCheck,51,I,1,8,6,2,3,3.67,4,4.33
JS15,noCheck,52,I,1,8,5,2,0.33,0.67,0.67,1
JG4,noCheck,53,I,1,8,4,1,4,5,6,6.33
JG34,noCheck,54,I,1,8,3,1,1.33,1.67,2,2.67
JT19,noCheck,55,I,1,8,2,1,1.67,2,2.67,3.67
JG39,noCheck,56,I,1,8,1,1,1.67,1.67,2,2.67
NA,HimboTop,58,I,1,9,2,2,2.67,3.33,6,7
JS32,noCheck,59,I,1,9,3,2,1.67,1.67,3.67,4.33
JT30,noCheck,60,I,1,9,4,2,1,1,1.33,1.33
JT18,noCheck,62,I,1,9,6,2,1.33,2.67,3,3.67
NA,Heritage,63,I,1,9,7,2,1.33,2,3,3.67
JG41,noCheck,64,I,1,10,7,2,4.33,6,6,7
JT37,noCheck,65,I,1,10,6,2,4,4.67,5.67,6
NA,Salmon,67,I,1,10,4,2,2.33,3,3.67,3.67
JG14,noCheck,68,I,1,10,3,2,1.33,1.33,2,2.67
JT24,noCheck,70,I,1,10,1,2,3.67,4.67,5.33,6
JS36,noCheck,72,I,1,11,2,2,2.67,3,5,6.33
JS11,noCheck,73,I,1,11,3,2,1,1.67,2.33,3
JT21,noCheck,75,I,1,11,5,2,3,4,5.33,6.67
JG43,noCheck,76,I,1,11,6,2,4.67,6,7.33,7.33
JT9,noCheck,79,I,1,12,6,2,4.67,5.67,6.33,6.67
JT19,noCheck,80,I,1,12,5,2,1,1.33,1.67,2.33
JG13,noCheck,81,I,1,12,4,2,4.67,6.33,6.67,7
JG27,noCheck,84,I,1,12,1,2,3,3,4,4.67
JS23,noCheck,86,I,1,13,2,2,0.67,0.33,0.33,0.33
JG3,noCheck,88,I,1,13,4,2,1,1.33,1.67,2.33
