genotype,plot,row,col,block,rep,inoc,pheno,checkId,mean_NDVI,mean_OSAVI,median_NDVI,median_OSAVI
NA,2,1,2,1,1,I,Sev01,Salmon,0.698923780580069,0.81074877940496,0.716369122454111,0.830985396076117
JG24,3,1,3,1,1,I,Sev01,noCheck,0.653897158710546,0.758518086795077,0.700792536641254,0.812916705601074
JG18,4,1,4,1,1,I,Sev01,noCheck,0.555490539337571,0.644366829226832,0.563760459273315,0.653960044016648
JG16,10,2,5,1,1,I,Sev01,noCheck,0.68864416909233,0.798824466664331,0.698956729355179,0.810787561618542
JT34,11,2,4,1,1,I,Sev01,noCheck,0.609103063233369,0.706557146841809,0.634169672272193,0.735634045346186
JS1,13,2,2,1,1,I,Sev01,noCheck,0.630225383843944,0.731058933995496,0.651172130974274,0.755357117189026
NA,15,3,1,1,1,I,Sev01,HimboTop,0.652748764301378,0.757186094933701,0.663810203391029,0.770017480737596
JT14,16,3,2,1,1,I,Sev01,noCheck,0.573337764535081,0.665069698008985,0.582621031698517,0.675838494647476
JS9,17,3,3,1,1,I,Sev01,noCheck,0.643558382284847,0.746525173422564,0.654986934213287,0.759782524935549
JT20,22,4,7,1,1,I,Sev01,noCheck,0.570279537016752,0.661522450078874,0.590292459478506,0.684737644496959
JG42,23,4,6,1,1,I,Sev01,noCheck,0.561487617175192,0.651323704602049,0.567671651634428,0.65849721122718
JS29,24,4,5,1,1,I,Sev01,noCheck,0.465383298146995,0.539843194185102,0.473202232158143,0.548913155139056
NA,25,4,4,1,1,I,Sev01,Heritage,0.587932865002852,0.682000112614244,0.599544234371681,0.695469162915624
JT18,26,4,3,1,1,I,Sev01,noCheck,0.657668460606999,0.762892976579907,0.671115213147196,0.778491166551885
JS7,27,4,2,1,1,I,Sev01,noCheck,0.621612412742097,0.72106810880591,0.64622697677234,0.749620739214974
JS2,29,5,1,1,1,I,Sev01,noCheck,0.661014046433683,0.766773902351465,0.673765455379575,0.781565164527553
JG7,30,5,2,1,1,I,Sev01,noCheck,0.553039111171279,0.641523269695427,0.57184132045788,0.663334203676963
JG11,32,5,4,1,1,I,Sev01,noCheck,0.578778069572052,0.671380689661056,0.592271192236994,0.687032233463913
JT21,33,5,5,1,1,I,Sev01,noCheck,0.603972120329143,0.700605449738444,0.607277646241436,0.704439618576443
JG6,34,5,6,1,1,I,Sev01,noCheck,0.569299296283301,0.660385380477793,0.589398338932337,0.683700082213105
NA,35,5,7,1,1,I,Sev01,GoldenBliss,0.581323951172311,0.674333968397615,0.591012639623751,0.685572646758828
JT1,36,6,7,1,1,I,Sev01,noCheck,0.615336633791014,0.713788452806409,0.617715212605724,0.716547986217156
JT21,38,6,5,1,1,I,Sev01,noCheck,0.548143759246144,0.635845003007302,0.561217856469627,0.651010807188689
JT16,39,6,4,1,1,I,Sev01,noCheck,0.621092884607243,0.720465579912688,0.642991582758312,0.745868106083931
JS25,40,6,3,1,1,I,Sev01,noCheck,0.029286776683901,0.033972564706949,0.029286776683901,0.033972564706949
JS22,41,6,2,1,1,I,Sev01,noCheck,0.570038854599981,0.661242979256177,0.579919861419748,0.672705155940842
NA,42,6,1,1,1,I,Sev01,GoldenBliss,0.571954454450714,0.663464997397798,0.581453880488428,0.674484379387288
JS19,43,7,1,1,1,I,Sev01,noCheck,0.628948269789619,0.729577565284588,0.649044153145494,0.752888664203063
JG20,44,7,2,1,1,I,Sev01,noCheck,0.599839003955654,0.695811136911023,0.617004287524519,0.715722985719632
NA,45,7,3,1,1,I,Sev01,Jewel,0.709636368693277,0.823175742031744,0.71715323335296,0.831895080057399
JG39,46,7,4,1,1,I,Sev01,noCheck,0.584768298653677,0.678329319452729,0.595718685273743,0.69103180794199
JT28,47,7,5,1,1,I,Sev01,noCheck,0.556337545591408,0.64534972102169,0.565971010575605,0.656524257415257
JG32,48,7,6,1,1,I,Sev01,noCheck,0.580069379881373,0.67287862948926,0.592176634214186,0.686922984915202
JG9,49,7,7,1,1,I,Sev01,noCheck,0.528832581124998,0.613444135544817,0.560462545339293,0.65013468643296
JS12,50,8,7,2,1,I,Sev01,noCheck,0.616860102268085,0.715555760381325,0.627704847517553,0.728135625484435
JG12,51,8,6,2,1,I,Sev01,noCheck,0.598216595898082,0.693929386622717,0.608223568046095,0.70553759909962
JS15,52,8,5,2,1,I,Sev01,noCheck,0.640906474609554,0.74344938345557,0.654532018433281,0.759254694953051
JG4,53,8,4,1,1,I,Sev01,noCheck,0.529302834052042,0.613989577146006,0.542869386880529,0.629726946703121
JG34,54,8,3,1,1,I,Sev01,noCheck,0.581799085821841,0.674884989122942,0.588588289032108,0.682760431190292
JT19,55,8,2,1,1,I,Sev01,noCheck,0.605476639501996,0.702350703638651,0.617914961094516,0.716779240242681
JG39,56,8,1,1,1,I,Sev01,noCheck,0.622378038675483,0.721956286222248,0.637192758967644,0.739141095675329
NA,58,9,2,2,1,I,Sev01,HimboTop,0.644286021464463,0.747369576301706,0.654989533169402,0.759785688228453
JS32,59,9,3,2,1,I,Sev01,noCheck,0.630662652303103,0.73156656585885,0.645114164686386,0.748330558048201
JT30,60,9,4,2,1,I,Sev01,noCheck,0.56990881127521,0.66109229945343,0.59069258708776,0.685201328688971
JT18,62,9,6,2,1,I,Sev01,noCheck,0.577676452038468,0.670102798870512,0.587258388742848,0.681218045540633
NA,63,9,7,2,1,I,Sev01,Heritage,0.628323348662306,0.728853040682338,0.652177099286944,0.756523764099012
JG41,64,10,7,2,1,I,Sev01,noCheck,0.565585652178363,0.65607762183165,0.575369312099603,0.667426643364521
JT37,65,10,6,2,1,I,Sev01,noCheck,0.558135723169985,0.647435686303574,0.572400071124751,0.663981981780898
NA,67,10,4,2,1,I,Sev01,Salmon,0.519294343384886,0.602379694715894,0.534357144374349,0.619852180880033
